break_id,name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp,name_tr
AncientTerraformingDevice,Ancient Terraforming Device,Dispositivo Antigo de Terraformação,Ancien appareil de terraformation,Uraltes Terraforming-Gerät,Pradawne urządzenie terraformujące,Древнее терраформирующее устройство,远古地球化设备,Dispositivo antiguo de terraformación,Antik Dünyalaştırma Cihazı
DesignedForestation,Designed Forestation,Florestamento Projetado,Boisement par design,Gestaltete Aufforstung,Planowe zalesianie,Дизайн лесов,计划造林,Forestación designada,Tasarlanmış Ağaçlandırma
LakeVaporators,Lake Vaporators,Condensadores de Lagos,Vaporateurs de lac,See-Vaporatoren,Parownice jeziorne,Выпариватели озер,湖水蒸发器,Evaporadores de lago,Göl Buharlaştırıcılar
LandscapingNanites,Landscaping Nanites,Nanites de Paisagismo,Nanites d'aménagement du paysage,Landschaftsbau-Nanomaschinen,Nanity krajobrazowe,Проектирование нанитами,地形改造纳米机器人,Nanites de paisajismo,Arazi Şekillendirme Nanitleri
ResilientVegetation,Resilient Vegetation,Vegetação Resiliente,Végétation résiliente,Widerstandsfähige Vegetation,Odporna roślinność,Выносливая растительность,顽强植被,Vegetación resistente,Dayanıklı Bitki Örtüsü
CaptureAsteroid,Capture Asteroid,Capture Asteroides,Capturer un astéroïde,Asteroid fangen,Przechwyt asteroidy,Захватите астероид,捕获小行星,Capturar asteroide,Asteroit Yakala
CargobayOfHolding,Cargobay of holding,Depósito do compartimento de carga,Soute magique,Nimmervoller Laderaum,Pojemna ładownia,Вместительный грузовой отсек,货舱,Bodega de carga de contención,Yük kompartımanı
ConstructionNanites,Construction Nanites ,Nanites de Construção ,Nanites de Construction ,Nanobaumaschinen ,Nanity budowlane ,Строительные наниты ,建筑纳米机器人 ,Nanorrobots constructores ,İnşaat Nanitleri 
GlobalSupport,Global Support,Suporte Global,Soutien mondial,Globale Unterstützung,Globalne wsparcie,Международная поддержка,全球支持,Apoyo global,Küresel Destek
MarsMarketing,Mars Marketing,Marketing de Marte,Marketing martien,Mars-Marketing,Reklama Marsa,Реклама Марса,火星营销,Publicidad marciana,Mars Pazarlama
MolePeople,Mole People,Povo-Toupeira,Gens taupes,Maulwurf-Menschen,Ludzie-krety,Люди-кроты,鼹鼠人,Hombres topo,Köstebek Halkı
VehicleWeightOptimizations,Vehicle Weight Optimizations,Otimizações de Peso do Veículo,Les optimisations de poids du véhicule,Optimierungen des Fahrzeuggewichts,Optymalizacja masy pojazdu,Оптимизация веса аппаратов,载具重量优化,Optimización de peso de vehículos,Araç Ağırlık İyileştirmeleri
HullPolarization,Hull Polarization,Polarização de Casco,Polarisation de la Coque,Hüllenpolarisierung,Polaryzacja kadłuba,Поляризация корпуса,建筑极化,Polarización de la cubierta,Gövde Polarizasyonu
ProjectPhoenix,Project Phoenix,Projeto Fênix,Projet Phénix,Phönix-Projekt,Projekt Feniks,Проект «Феникс»,凤凰计划,Proyecto Fénix,Anka Projesi
SoylentGreen,Soylent Green,Tabletes Verdes,Soleil Vert,Soylent Green,Zielona pożywka,Сойлентовая зелень,绿色食物,Soylent Green,Özel Besin Takviyesi
NeuralEmpathy,Neural Empathy,Empatia Neural,Empathie Neurale,Neurale Empathie,Empatia neuronalna,Нейронная эмпатия,感同身受,Empatía neural,Nöral Empati
RapidSleep,Rapid Sleep,Sono Rápido,Sommeil Rapide,Schnellschlaf,Szybki sen,Быстрый сон,快速睡眠,Sueño rápido,Hızlı Uyku
ThePositronicBrain,The Positronic Brain,O Cérebro Positrônico,Le Cerveau Positronique,Der positronische Verstand,Pozytronowy mózg,Позитронный мозг,正子脑,Cerebro positrónico,Pozitronik Beyin
SafeMode,Safe Mode,Modo Seguro,Mode Sans échec,Sicherheitsmodus,Tryb bezpieczny,Безопасный режим,安全模式,Modo de seguridad,Güvenli Mod
HiveMind,Hive Mind ,Mentalidade de Colmeia ,Esprit de la Ruche ,Schwarmdenken ,Umysł roju ,Коллективный разум ,蜂巢思维 ,Conciencia colectiva ,Kolektif Bilinç 
SpaceRehabilitation,Space Rehabilitation,Reabilitação Espacial,Réhabilitation Spatiale,Weltraum-Rehabilitation,Kosmiczna rehabilitacja,Космическая реабилитация,太空康复,Rehabilitación espacial,Uzay Rehabilitasyonu
WirelessPower,Wireless Power,Energia Sem Fio,Énergie Sans Fil,Kabelloser Strom,Zasilanie bezprzewodowe,Беспроводная передача энергии,无线供电,Energía inalámbrica,Kablosuz Elektrik
PrintedElectronics,Printed Electronics,Eletrônicos Impressos,Électronique Imprimée,Gedruckte elektronische Geräte,Drukowana elektronika,Печатная электроника,电子元件打印,Impresión de productos electrónicos,Yazdırılmış Elektronik Aksamlar
CoreMetals,Core Metals,Metais do Núcleo,Métaux du Noyau,Kernmetalle,Metale z jądra,Металлы из недр Марса,星核金属,Metales del núcleo,Öz Metaller
CoreWater,Core Water,Água do Núcleo,Eau du Noyau,Kernwasser,Woda z jądra,Вода из недр Марса,星核水资源,Agua del núcleo,Öz Su
CoreRareMetals,Core Rare Metals,Metais Raros do Núcleo,Métaux Rares du Noyau,Kernedelmetalle,Rzadkie metale z jądra,Редкие металлы из недр Марса,星核稀有金属,Metales raros del núcleo,Öz Nadir Metaller
SuperiorCables,Superior Cables,Cabos Superiores,Câbles Supérieurs,Hochwertige Kabel,Znakomite kable,Великолепные кабели,优质电缆,Cables superiores,Üst Düzey Kablolar
SuperiorPipes,Superior Pipes,Dutos Superiores,Tuyaux Supérieurs,Hochwertige Rohre,Znakomite rury,Великолепные трубы,优质管道,Tuberías superiores,Üst Düzey Borular
AlienImprints,Alien Imprints,Marcas Alienígenas,Empreintes Alien,Alien-Abdrücke,Ślady po kosmitach,Инопланетные следы,外星印记,Impresión alienígena,Uzaylı İzleri
NocturnalAdaptation,Nocturnal Adaptation,Adaptação Noturna,Adaptation Nocturne,Nächtliche Anpassung,Nocne życie,Адаптация к ночному образу жизни,夜间适应,Adaptación nocturna,Geceye Uyum Sağlama
GeneSelection,Gene Selection,Seleção de Genes,Sélection des Gènes,Genselektion,Selekcja genowa,Отбор генов,基因筛选,Selección de genes,Gen Seçimi
MartianDiet,Martian Diet,Dieta Marciana,Régime Martien,Marsdiät,Marsjańska dieta,Марсианская диета,火星食谱,Dieta marciana,Mars Diyeti
EternalFusion,Eternal Fusion,Fusão Perpétua,Fusion Continue,Ewige Fusion,Wieczna fuzja,Вечный синтез,无限核融合,Fusión eterna,Sonsuz Füzyon
